Team,2017,2018,2019,2020,2021,All-Stars,Inc 2017,Inc 2018,Inc 2019,Inc 2020,Inc 2021,Net Inc
Atlanta Hawks,1,,,1,,2,22,42,78,36,37,215
Boston Celtics,1,2,1,2,2,8,85,100,88,86,46,405
Brooklyn Nets,,,1,,2,3,52,53,42,44,-80,111
Charlotte Hornets,1,1,1,,,3,21,22,39,36,34,152
Chicago Bulls,1,,,,1,2,95,114,103,115,39,466
Cleveland Cavaliers,2,1,,,,3,-6,-13,39,46,11,77
Dallas Mavericks,,,1,1,1,3,21,99,105,84,55,364
Denver Nuggets,,,1,1,1,3,49,47,52,27,15,190
Detroit Pistons,,1,1,,,2,22,52,52,45,43,214
Golden State Warriors,4,4,3,,1,12,120,103,109,200,-44,488
Houston Rockets,1,1,1,2,,5,95,103,110,94,33,435
Indiana Pacers,1,1,,1,1,4,29,50,55,39,4,177
Los Angeles Clippers,1,,,1,2,4,35,43,70,57,18,223
Los Angeles Lakers,,,1,2,1,4,136,147,178,155,63,679
Memphis Grizzlies,1,,,,,1,15,27,24,22,12,100
Miami Heat,,1,1,2,,4,63,40,58,38,16,215
Milwaukee Bucks,1,1,2,2,1,7,20,25,69,27,11,152
Minnesota Timberwolves,,2,1,,,3,53,47,46,32,29,207
New Orleans Pelicans,1,1,1,1,1,5,37,29,49,44,24,183
New York Knicks,1,,,,1,2,140,155,157,178,71,701
Oklahoma City Thunder,1,2,2,1,,6,64,10,-23,51,48,150
Orlando Magic,,,1,,1,2,39,64,70,37,29,239
Philadelphia 76ers,,1,2,2,2,7,40,68,90,51,13,262
Phoenix Suns,,,,1,1,2,31,47,42,20,15,155
Portland Trail Blazers,,1,1,,1,3,25,40,51,27,19,162
Sacramento Kings,1,,,,,1,50,72,81,45,25,273
San Antonio Spurs,1,1,1,,,3,59,53,66,63,39,280
Toronto Raptors,2,2,2,2,,8,51,76,79,79,2,287
Utah Jazz,1,,,2,3,6,61,59,63,42,96,321
Washington Wizards,1,1,1,,1,4,21,34,55,39,15,164
Totals,24,24,26,24,24,122,1545,1808,2097,1859,738,8047
