Team,2017,2018,2019,2020,2021,Totals
Atlanta Hawks,1,,,1,,2
Boston Celtics,1,2,1,2,2,8
Brooklyn Nets,,,1,,2,3
Charlotte Hornets,1,1,1,,,3
Chicago Bulls,1,,,,1,2
Cleveland Cavaliers,2,1,,,,3
Dallas Mavericks,,,1,1,1,3
Denver Nuggets,,,1,1,1,3
Detroit Pistons,,1,1,,,2
Golden State Warriors,4,4,3,,1,12
Houston Rockets,1,1,1,2,,5
Indiana Pacers,1,1,,1,1,4
Los Angeles Clippers,1,,,1,2,4
Los Angeles Lakers,,,1,2,1,4
Memphis Grizzlies,1,,,,,1
Miami Heat,,1,1,2,,4
Milwaukee Bucks,1,1,2,2,1,7
Minnesota Timberwolves,,2,1,,,3
New Orleans Pelicans,1,1,1,1,1,5
New York Knicks,1,,,,1,2
Oklahoma City Thunder,1,2,2,1,,6
Orlando Magic,,,1,,1,2
Philadelphia 76ers,,1,2,2,2,7
Phoenix Suns,,,,1,1,2
Portland Trail Blazers,,1,1,,1,3
Sacramento Kings,1,,,,,1
San Antonio Spurs,1,1,1,,,3
Toronto Raptors,2,2,2,2,,8
Utah Jazz,1,,,2,3,6
Washington Wizards,1,1,1,,1,4
Totals,24,24,26,24,24,122
