Team,Age (2017),W (2017),L (2017),Pct (2017),Attend. (2017),Income (2017),All Stars (2017),Age (2018),W (2018),L (2018),Pct (2018),Attend. (2018),Income (2018),All Stars (2018),Age(2019),W (2019),L (2019),Pct (2019),Attend. (2019),Income (2019),All Stars (2019),Age (2020),W (2020),L (2020),Pct (2020),Attend. (2020),Income (2020),All Stars (2020),Age (2021),W (2021),L (2021),Pct (2021),Attend. (2021),Income (2021),All Stars (2021)
Atlanta Hawks,27.9,43,39,0.524,654306,22,1,25.4,24,58,0.293,590769,42,,25.1,29,53,0.354,628440,78,,24.1,20,47,0.299,545453,36,1,25.4,41,31,0.569,59288,37,
Boston Celtics,25.9,53,29,0.646,760690,85,1,24.7,55,27,0.671,763584,100,2,25.7,49,33,0.598,763584,88,1,25.3,48,24,0.667,610864,86,2,25.1,36,36,0.500,30067,46,2
Brooklyn Nets,26,20,62,0.244,632608,52,,25.1,28,54,0.341,640010,53,,25.4,42,40,0.512,612597,42,1,26.3,35,37,0.486,524907,44,,28.2,48,24,0.667,30491,-80,2
Charlotte Hornets,26.5,36,46,0.439,710643,21,1,26.6,36,46,0.439,671404,22,1,26.6,39,43,0.476,676570,39,1,24.3,23,42,0.354,478591,36,,24.6,33,39,0.458,68255,34,
Chicago Bulls,26.9,41,41,0.500,888882,95,1,24.4,27,55,0.329,851824,114,,24,22,60,0.268,823475,103,,24.4,22,43,0.338,639352,115,,25.6,31,41,0.431,13655,39,1
Cleveland Cavaliers,29.2,51,31,0.622,843042,-6,2,30.6,50,32,0.610,843042,-13,1,25.2,19,63,0.232,793337,39,,25,19,46,0.292,643008,46,,24,22,50,0.306,91476,11,
Dallas Mavericks,27.6,33,49,0.402,811366,21,,27.7,24,58,0.293,811453,99,,26.9,33,49,0.402,820569,105,1,26.1,43,32,0.573,682096,84,1,26.3,42,30,0.583,94849,55,1
Denver Nuggets,25.2,40,42,0.488,605585,49,,25.1,46,36,0.561,702796,47,,24.9,54,28,0.659,756457,52,1,25.6,46,27,0.630,633153,27,1,26.1,47,25,0.653,54563,15,1
Detroit Pistons,25.4,37,45,0.451,655141,22,,25.9,39,43,0.476,713945,52,1,26.9,41,41,0.500,675963,52,1,25.9,20,46,0.303,509469,45,,24.5,20,52,0.278,14250,43,
Golden State Warriors,28.2,67,15,0.817,803436,120,4,28.8,58,24,0.707,803436,103,4,28.4,57,25,0.695,803436,109,3,24.4,15,50,0.231,614176,200,,26.7,39,33,0.542,33457,-44,1
Houston Rockets,27.4,55,27,0.671,695903,95,1,29.8,65,17,0.793,732722,103,1,29.2,53,29,0.646,740392,110,1,29.2,44,28,0.611,578458,94,2,26.5,17,55,0.236,117009,33,
Indiana Pacers,27,42,40,0.512,684578,29,1,26.2,48,34,0.585,658119,50,1,27,48,34,0.585,689310,55,,25.6,45,28,0.616,529002,39,1,26.5,34,38,0.472,,4,1
Los Angeles Clippers,30,51,31,0.622,782609,35,1,27,42,40,0.512,697812,43,,27.2,48,34,0.585,710327,70,,27.4,49,23,0.681,610176,57,1,28.8,47,25,0.653,13901,18,2
Los Angeles Lakers,25.1,26,56,0.317,776917,136,,23.7,35,47,0.427,776327,147,,26.2,37,45,0.451,778877,178,1,29.5,52,19,0.732,588907,155,2,28.2,42,30,0.583,23313,63,1
Memphis Grizzlies,29.5,43,39,0.524,677314,15,1,26,22,60,0.268,653863,27,,27.7,33,49,0.402,638332,24,,24.1,34,39,0.466,523297,22,,24.2,38,34,0.528,61449,12,
Miami Heat,26.5,41,41,0.500,805400,63,,26.5,44,38,0.537,804850,40,1,27,39,43,0.476,805264,58,1,25.9,44,29,0.603,629771,38,2,27.4,40,32,0.556,,16,
Milwaukee Bucks,25.6,42,40,0.512,648952,20,1,25.9,44,38,0.537,685303,25,1,26.9,60,22,0.732,721692,69,2,29.2,56,17,0.767,549036,27,2,28.1,46,26,0.639,64780,11,1
Minnesota Timberwolves,24,31,51,0.378,607203,53,,27.1,47,35,0.573,699308,47,2,26.2,36,46,0.439,627543,46,1,24.8,19,45,0.297,482112,32,,23.2,23,49,0.319,15774,29,
New Orleans Pelicans,25.7,34,48,0.415,663099,37,1,27.6,48,34,0.585,673920,29,1,25.7,33,49,0.402,656183,49,1,25.4,30,42,0.417,528172,44,1,24.8,31,41,0.431,93120,24,1
New York Knicks,27.3,31,51,0.378,810741,140,1,26.3,29,53,0.354,792608,155,,23.4,17,65,0.207,779087,157,,24.5,21,45,0.318,620789,178,,25.6,41,31,0.569,42131,71,1
Oklahoma City Thunder,24.7,47,35,0.573,746323,64,1,27.3,48,34,0.585,746322,10,2,25.7,49,33,0.598,746323,-23,2,25.5,44,28,0.611,600699,51,1,22.8,22,50,0.306,,48,
Orlando Magic,25.3,29,53,0.354,727875,39,,25.6,25,57,0.305,734531,64,,25.7,42,40,0.512,720024,70,1,26.1,33,40,0.452,529870,37,,25.6,21,51,0.292,126463,29,1
Philadelphia 76ers,24.6,28,54,0.341,710557,40,,25.8,52,30,0.634,833503,68,1,26.4,51,31,0.622,838342,90,2,26.3,43,30,0.589,639491,51,2,27.1,49,23,0.681,68583,13,2
Phoenix Suns,25,24,58,0.293,708639,31,,23.7,21,61,0.256,690576,47,,24,19,63,0.232,627023,42,,24.6,34,39,0.466,550633,20,1,26.6,51,21,0.708,104027,15,1
Portland Trail Blazers,24.8,41,41,0.500,792029,25,,25.6,49,33,0.598,795750,40,1,26.2,53,29,0.646,799345,51,1,27.5,35,39,0.473,628303,27,,27.4,42,30,0.583,5817,19,1
Sacramento Kings,27.9,32,50,0.390,721928,50,1,26.4,27,55,0.329,714680,72,,24.8,39,43,0.476,700975,81,,27,31,41,0.431,520663,45,,25.6,31,41,0.431,,25,
San Antonio Spurs,29.6,61,21,0.744,755347,59,1,29.3,47,35,0.573,754562,53,1,28.8,48,34,0.585,750616,66,1,27.6,32,39,0.451,550515,63,,26.2,33,39,0.458,61053,39,
Toronto Raptors,26.1,51,31,0.622,813050,51,2,25.8,59,23,0.720,813431,76,2,27.3,58,24,0.707,812822,79,2,26.6,53,19,0.736,633456,79,2,26.6,27,45,0.375,26024,2,
Utah Jazz,26.8,51,31,0.622,806142,61,1,26.7,48,34,0.585,734806,59,,27.3,50,32,0.610,750546,63,,27.3,44,28,0.611,567486,42,2,28.5,52,20,0.722,151300,96,3
Washington Wizards,26,49,33,0.598,697107,21,1,26.9,43,39,0.524,739302,34,1,26.5,32,50,0.390,716996,55,1,25.1,25,47,0.347,532702,39,,26.6,34,38,0.472,19198,15,1
