Year,2017,2018,2019,2020,2021
Atlanta Hawks,22,42,78,36,37
Boston Celtics,85,100,88,86,46
Brooklyn Nets,52,53,42,44,-80
Charlotte Hornets,21,22,39,36,34
Chicago Bulls,95,114,103,115,39
Cleveland Cavaliers,-6,-13,39,46,11
Dallas Mavericks,21,99,105,84,55
Denver Nuggets,49,47,52,27,15
Detroit Pistons,22,52,52,45,43
Golden State Warriors,120,103,109,200,-44
Houston Rockets,95,103,110,94,33
Indiana Pacers,29,50,55,39,4
Los Angeles Clippers,35,43,70,57,18
Los Angeles Lakers,136,147,178,155,63
Memphis Grizzlies,15,27,24,22,12
Miami Heat,63,40,58,38,16
Milwaukee Bucks,20,25,69,27,11
Minnesota Timberwolves,53,47,46,32,29
New Orleans Pelicans,37,29,49,44,24
New York Knicks,140,155,157,178,71
Oklahoma City Thunder,64,10,-23,51,48
Orlando Magic,39,64,70,37,29
Philadelphia 76ers,40,68,90,51,13
Phoenix Suns,31,47,42,20,15
Portland Trail Blazers,25,40,51,27,19
Sacramento Kings,50,72,81,45,25
San Antonio Spurs,59,53,66,63,39
Toronto Raptors,51,76,79,79,2
Utah Jazz,61,59,63,42,96
Washington Wizards,21,34,55,39,15
Total,1545,1808,2097,1859,738
League average,51,60,70,62,25
